units_sold,price_per_unit,discount_percent,advertising_spend,revenue
14.0,465.38,22.8,38433.61,5029.83
1.0,815.51,14.3,28854.93,698.89
55.0,477.86,13.1,41639.52,22839.32
9.0,697.98,6.9,5483.65,5848.37
76.0,513.85,22.0,3042.69,30461.03
21.0,84.98,13.4,30279.07,1545.45
42.0,110.8,6.6,5321.64,4346.46
50.0,853.09,17.7,3291.47,35104.65
95.0,970.45,10.0,29948.38,82973.48
18.0,113.88,27.5,2438.4,1486.13
2.0,989.15,11.0,34229.66,1760.69
17.0,626.29,2.4,3203.19,10391.4
43.0,514.84,5.6,42061.2,20898.39
33.0,461.89,26.6,44442.17,11187.9
1.0,786.51,0.0,6465.63,786.51
4.0,471.77,22.8,41884.9,1456.83
22.0,644.31,11.1,22283.64,12601.41
86.0,397.79,20.7,32863.41,27128.48
56.0,431.91,27.5,46601.25,17535.55
37.0,316.61,2.5,47930.21,11421.71
81.0,416.18,25.5,18674.07,25114.38
49.0,497.38,28.3,23679.7,17474.45
21.0,59.36,16.6,42108.05,1039.63
30.0,584.63,0.2,42461.03,17503.82
53.0,311.91,14.2,27712.57,14183.8
67.0,83.43,27.4,9614.33,4058.2
19.0,983.17,23.1,32639.98,14365.1
20.0,643.69,,48802.66,9539.49
77.0,640.19,0.4,10943.12,49097.45
93.0,365.05,4.4,18000.98,32455.87
90.0,990.61,17.8,32065.88,73285.33
57.0,77.19,11.3,45630.38,3902.65
15.0,428.51,18.2,16394.67,5257.82
80.0,166.04,4.2,37495.44,12725.31
3.0,990.49,22.1,22381.13,2314.78
100.0,572.18,27.0,38694.84,41769.14
6.0,418.06,8.0,7329.25,2307.69
58.0,710.14,11.3,6334.21,36533.86
1.0,342.32,3.1,2096.04,331.71
75.0,410.21,13.3,14461.85,26673.91
39.0,952.86,5.6,23246.53,35080.49
13.0,198.37,26.8,23184.38,1887.69
19.0,159.85,15.3,24951.99,2572.47
79.0,155.72,27.9,2368.04,8869.66
81.0,170.02,14.7,,11747.19
93.0,781.57,27.1,30843.98,52988.1
37.0,759.33,10.7,38593.3,25089.02
35.0,209.63,6.8,27423.66,6838.13
90.0,787.18,,24304.27,54551.57
67.0,422.24,24.0,45185.09,21500.46
81.0,739.53,4.7,15101.0,57086.54
57.0,65.06,0.3,40986.06,3697.29
20.0,641.94,27.7,29768.2,9282.45
6.0,308.57,19.5,33025.28,1490.39
,309.86,14.7,47923.95,9779.49
48.0,723.9,20.6,13836.28,27589.28
54.0,253.28,13.1,20899.86,11885.42
9.0,924.12,11.7,43969.73,7343.98
30.0,829.27,6.6,2830.16,23236.15
5.0,574.24,12.6,27514.87,2509.43
61.0,840.15,16.0,15140.82,43049.29
68.0,775.45,0.4,30508.2,52519.68
37.0,231.04,2.4,30116.54,8343.32
72.0,800.97,18.3,5304.76,47116.26
31.0,549.92,1.2,9263.26,16842.95
84.0,516.14,24.0,30907.04,32950.38
25.0,459.38,4.4,26407.74,10979.18
91.0,966.01,12.5,17501.03,76918.55
7.0,459.18,7.4,19623.39,2976.4
64.0,709.14,29.4,45413.47,32041.78
44.0,462.45,16.1,29481.22,17071.8
77.0,437.44,6.6,18705.45,31459.81
85.0,466.87,9.9,42105.82,35755.24
7.0,50.72,23.2,47222.76,272.67
70.0,697.17,16.9,34532.95,40554.38
99.0,493.3,10.3,2224.75,43806.52
94.0,178.0,18.0,6201.29,13720.24
54.0,333.39,6.8,13180.83,16778.85
21.0,956.09,0.3,38643.32,20017.66
72.0,854.61,10.9,20370.62,54824.94
57.0,576.48,10.3,1305.66,29474.85
98.0,135.83,13.1,26936.87,11567.55
54.0,946.0,25.3,19887.81,38159.75
41.0,889.48,9.9,26328.65,32858.28
17.0,612.0,11.4,32706.55,9217.94
16.0,157.38,13.4,5919.85,2180.66
70.0,856.59,22.3,23357.6,46589.93
8.0,280.46,10.6,14389.36,2005.85
55.0,393.97,26.2,38493.07,15991.24
15.0,124.2,27.2,45777.48,1356.26
93.0,224.94,5.8,41735.51,19706.09
75.0,212.86,4.8,12275.99,15198.2
54.0,548.08,27.7,3300.44,21398.14
36.0,554.75,12.4,38420.46,17494.6
65.0,747.74,9.9,14337.66,43791.39
99.0,219.51,19.2,3424.72,17559.04
62.0,485.23,22.2,10177.59,23405.55
96.0,145.06,6.2,44266.81,13062.36
20.0,719.24,17.7,42633.15,11838.69
53.0,168.12,4.6,40784.89,8500.48
89.0,877.03,25.2,20129.32,58385.64
6.0,382.28,21.2,48753.36,1807.42
13.0,832.04,22.8,37801.65,8350.35
36.0,771.64,16.1,35562.76,23306.61
91.0,538.89,0.4,24727.53,48842.83
23.0,793.42,13.9,27948.53,15712.1
90.0,727.14,18.4,38035.28,53401.16
24.0,686.14,23.7,2742.15,12564.6
54.0,408.45,17.6,26986.29,18174.39
20.0,122.92,21.5,7630.49,1929.84
40.0,769.7,29.3,11144.3,21767.12
80.0,780.98,9.0,16770.51,56855.34
37.0,233.2,28.7,19152.77,6152.05
61.0,141.4,29.6,16065.89,6072.28
39.0,409.33,0.5,5227.68,15884.05
26.0,931.02,14.9,28858.42,20599.75
10.0,263.69,6.9,25405.42,2454.95
45.0,785.67,29.4,38287.16,24960.74
41.0,296.13,8.3,39631.54,11133.6
22.0,784.21,6.5,30293.3,16131.2
56.0,670.64,22.2,32857.1,29218.44
78.0,578.11,17.4,17199.39,37246.47
18.0,680.28,11.3,13629.3,10861.35
82.0,846.19,6.3,39137.58,65016.16
47.0,177.04,12.5,46656.95,7280.77
11.0,224.58,7.5,17245.54,2285.1
48.0,475.2,21.9,14143.24,17814.3
9.0,964.5,14.5,29189.62,7421.83
35.0,139.17,17.2,41426.81,4033.15
58.0,129.49,7.6,17279.0,6939.63
25.0,319.25,21.2,29063.95,6289.22
21.0,204.74,8.8,8003.34,3921.18
52.0,717.39,5.1,48513.04,35401.76
28.0,616.27,28.2,9700.11,12389.49
6.0,996.32,26.2,43408.79,4411.7
82.0,527.79,23.3,2409.2,33194.82
47.0,782.57,150.0,42168.02,34647.5
78.0,480.25,14.5,10768.85,32027.87
15.0,797.47,0.6,11296.81,11890.28
8.0,360.16,21.7,17549.48,2256.04
96.0,958.06,8.4,47405.21,84247.96
36.0,790.45,16.0,4011.91,23903.21
92.0,634.07,8.4,39898.42,53434.35
93.0,280.3,24.9,9543.76,19576.99
49.0,251.58,17.1,22720.96,10219.43
65.0,165.84,5.7,7877.49,10165.16
2.0,144.66,26.3,14657.32,213.23
20.0,504.97,29.1,47516.36,7160.47
73.0,679.69,25.3,29378.73,37064.18
59.0,477.95,7.8,16230.96,25999.52
72.0,437.22,12.9,3158.21,27418.94
60.0,938.14,2.9,15472.33,54656.04
9.0,718.18,11.4,30789.96,5726.77
32.0,538.25,23.6,12217.63,13159.14
53.0,942.46,5.4,18512.01,47253.06
29.0,260.76,19.7,8279.19,6072.32
90.0,382.01,9.4,2856.6,31149.1
71.0,451.49,23.9,9795.17,24394.46
98.0,59.71,25.2,30766.44,4376.98
34.0,852.56,23.9,19155.6,22059.14
4.0,121.85,6.4,35920.34,456.21
46.0,443.01,4.3,22228.15,19502.19
65.0,550.52,150.0,43130.23,26265.31
89.0,50.09,0.9,29579.35,4417.89
27.0,671.74,4.4,33320.82,17338.95
91.0,420.68,6.9,10265.97,35640.43
48.0,412.36,16.0,21430.75,16626.36
45.0,92.48,13.1,10970.17,3616.43
28.0,546.42,1.1,37858.22,15131.46
5.0,712.1,17.3,12750.48,2944.53
81.0,577.69,8.1,33676.46,43002.67
88.0,544.73,19.4,41542.22,38636.61
97.0,990.64,10.6,27265.72,85906.32
26.0,889.2,11.8,23837.34,20391.13
54.0,223.09,6.5,15563.09,11263.81
29.0,899.07,21.1,23267.87,20571.62
82.0,801.25,4.5,32358.39,62745.89
89.0,482.01,27.1,23036.03,31273.29
98.0,245.39,26.3,46105.59,17723.54
22.0,493.18,10.1,26601.01,9754.11
60.0,569.67,16.5,16781.59,28540.47
87.0,943.53,7.5,33864.8,75930.58
60.0,525.51,29.8,19664.54,22134.48
83.0,299.93,14.1,44056.94,21384.11
2.0,803.66,22.0,48131.74,1253.71
18.0,345.21,5.3,7332.29,5884.45
58.0,964.17,18.8,39825.88,45408.55
44.0,82.07,15.1,49423.92,3065.81
14.0,734.15,6.6,47664.43,9599.75
25.0,215.5,5.6,46095.24,5085.8
79.0,401.44,18.4,29590.19,25878.43
26.0,91.12,28.3,48059.76,1698.66
37.0,973.01,26.8,38310.42,26353.0
42.0,231.75,5.2,36217.52,9227.36
2.0,851.14,20.9,27563.2,1346.5
63.0,490.41,14.5,17903.07,26415.93
29.0,707.88,8.8,42714.68,18722.01
82.0,477.83,11.3,45520.53,34754.49
30.0,960.7,26.3,27647.29,21241.08
9.0,82.66,18.9,45713.39,603.34
,178.62,4.9,18793.86,11211.26
67.0,381.84,4.9,29557.02,24329.7
28.0,106.64,11.9,17141.01,2630.6
91.0,861.41,28.8,13641.35,55812.48
70.0,854.96,25.3,3146.18,44705.86
34.0,569.59,7.5,20185.54,17913.61
23.0,426.67,12.0,18799.25,8635.8
54.0,246.13,18.0,26648.89,10898.64
20.0,558.7,15.2,42103.21,9475.55
52.0,439.32,28.2,48636.69,16402.45
30.0,164.75,20.1,17342.82,3949.06
81.0,548.1,15.8,8692.93,37381.52
51.0,574.7,8.8,13213.36,26730.45
79.0,178.61,7.4,36876.86,13066.04
9.0,682.73,8.9,15034.3,5597.7
79.0,785.28,10.5,8687.73,55523.22
52.0,66.29,2.6,11557.6,3357.46
51.0,369.25,17.9,29259.62,15460.87
64.0,896.51,20.8,10424.58,45442.3
61.0,423.96,8.3,41294.75,23715.05
95.0,651.76,5.4,2999.01,58573.67
65.0,357.27,9.7,29695.59,20969.96
19.0,640.8,27.5,9372.57,8827.02
36.0,438.81,5.3,38798.31,14959.91
34.0,356.82,3.3,40939.86,11731.53
92.0,306.7,5.8,39828.52,26579.85
38.0,889.8,10.5,32059.33,30262.1
65.0,684.41,20.4,27474.44,35411.37
72.0,638.09,23.4,18770.09,35191.94
91.0,412.16,20.6,38316.54,29780.21
44.0,493.6,1.8,7927.62,21327.47
94.0,525.44,17.7,5359.49,40649.09
70.0,103.15,7.5,42774.56,6678.96
45.0,366.41,27.5,16442.58,11954.13
7.0,813.09,14.2,25913.99,4883.42
56.0,127.42,3.8,9158.64,6864.37
18.0,243.78,12.3,14255.41,3848.31
22.0,102.17,12.8,37582.29,1960.03
18.0,431.35,1.6,16337.7,7640.07
69.0,364.32,17.4,23958.19,20764.05
11.0,664.34,22.8,49773.96,5641.58
51.0,673.77,18.3,6899.92,28073.97
72.0,60.68,21.4,34214.6,3434.0
47.0,310.12,25.0,6708.37,10931.73
58.0,513.11,8.6,1536.66,27200.99
43.0,244.21,20.7,12617.2,8327.32
95.0,459.69,12.9,33133.96,38037.05
45.0,840.68,9.8,10873.76,34123.2
46.0,668.94,4.7,7286.32,29324.99
6.0,595.15,0.0,38799.54,3570.9
62.0,490.0,24.9,5432.69,22815.38
51.0,506.4,9.9,22670.67,23269.59
9.0,445.14,28.5,6896.02,2864.48
50.0,273.56,27.7,42950.02,9889.19
84.0,,2.0,38066.43,69883.09
93.0,862.4,28.3,48726.57,57505.69
72.0,910.1,3.9,38878.59,62971.64
71.0,622.04,13.3,29137.53,38290.92
40.0,338.93,21.6,12639.63,10628.84
21.0,299.73,16.2,,5274.65
70.0,288.2,19.6,1594.12,16219.9
25.0,68.85,20.0,2506.25,1377.0
87.0,77.25,19.5,21987.45,5410.2
77.0,379.54,26.9,26725.64,21363.17
75.0,823.51,26.2,14194.25,45581.28
64.0,758.44,30.0,5173.22,33978.11
91.0,320.65,23.1,49070.18,22438.77
2.0,678.9,23.4,23026.53,1040.07
56.0,988.55,3.1,10769.84,53642.68
84.0,643.21,12.6,35202.31,47221.91
37.0,326.29,9.8,16177.86,10889.6
14.0,708.77,0.3,33860.41,9893.01
51.0,101.9,3.4,4739.63,5020.21
,826.12,20.7,39696.35,28824.98
10.0,497.29,5.3,11144.8,4709.34
35.0,840.21,13.2,15696.99,25525.58
80.0,70.53,16.6,6319.51,4705.76
75.0,514.8,25.4,12303.11,28803.06
76.0,597.55,18.4,49668.49,37057.66
9.0,167.52,19.1,47617.93,1219.71
8.0,900.18,19.8,17022.74,5775.55
64.0,537.5,3.3,40352.84,33264.8
8.0,327.66,,7612.14,2584.58
27.0,218.34,6.0,31139.08,5541.47
87.0,602.31,24.0,40869.67,39824.74
20.0,231.0,19.8,30987.51,3705.24
76.0,320.8,10.1,5331.89,21918.34
44.0,592.82,11.7,18013.69,23032.24
57.0,293.0,29.6,47950.33,11757.5
63.0,356.23,19.4,22727.76,18088.65
27.0,99.05,18.6,48677.14,2176.92
70.0,935.76,19.5,8369.25,52730.08
55.0,282.81,12.8,17621.06,13563.57
96.0,583.06,12.7,42721.3,48865.09
73.0,337.17,14.6,18066.83,21019.85
89.0,183.8,9.0,13534.75,14885.96
63.0,702.44,0.9,16334.55,43855.44
57.0,,9.1,4287.0,41640.04
68.0,544.01,28.9,6927.82,26301.8
54.0,685.11,21.7,44784.33,28967.82
25.0,187.8,21.9,14004.58,3666.8
46.0,168.32,23.0,12576.76,5961.89
96.0,494.75,28.5,36169.0,33959.64
-10.0,694.31,11.5,16840.39,9831.43
84.0,776.22,20.1,46672.98,52096.78
75.0,57.52,17.8,14347.98,3546.11
21.0,183.35,27.7,11052.66,2783.8
88.0,713.46,28.1,13062.96,45142.04
56.0,813.29,27.6,26159.02,32974.03
56.0,160.03,14.0,24885.11,7707.04
6.0,381.73,0.7,9200.85,2274.35
65.0,605.92,23.6,21582.66,30089.99
30.0,598.75,3.8,5922.05,17279.92
73.0,629.45,27.4,14865.94,33359.59
67.0,886.93,7.7,34151.77,54848.64
47.0,151.05,1.3,17880.56,7007.06
92.0,140.61,13.0,14284.82,11254.42
56.0,536.08,6.6,19478.18,28039.13
97.0,128.9,8.5,21695.1,11440.52
46.0,318.46,11.9,44254.73,12905.91
58.0,207.23,5.4,14529.37,11370.3
10.0,57.12,8.6,13098.64,522.08
34.0,905.68,14.3,25441.98,26389.7
95.0,178.13,12.7,48771.93,14773.21
56.0,53.78,17.5,49055.02,2484.64
24.0,407.48,9.7,3293.18,8830.91
70.0,916.8,8.2,20354.66,58913.57
63.0,970.49,22.8,47701.68,47200.75
22.0,309.82,2.1,14248.1,6672.9
80.0,792.24,25.2,17671.92,47407.64
3.0,281.67,26.8,31577.6,618.55
74.0,668.64,15.1,18485.63,42007.98
7.0,567.87,28.3,24696.96,2850.14
11.0,489.79,20.7,12899.32,4272.44
50.0,204.54,24.6,43126.52,7711.16
18.0,622.62,26.3,31050.84,8259.68
53.0,464.76,8.2,34787.41,22612.43
44.0,829.89,1.4,10044.87,36003.95
8.0,687.74,11.3,4834.53,4880.2
13.0,129.03,19.4,35261.85,1351.98
80.0,429.86,6.7,25490.29,32084.75
68.0,921.41,1.9,43217.08,61465.42
56.0,520.25,26.9,24113.01,21296.95
7.0,961.99,13.2,44626.29,5845.05
99.0,,3.8,23103.22,72466.59
45.0,526.67,8.5,18866.64,21685.64
32.0,642.8,10.3,36798.18,18450.93
8.0,598.08,16.0,26852.87,4019.1
16.0,513.66,17.4,40030.03,6788.53
57.0,520.22,2.3,45668.22,28970.53
12.0,781.9,28.4,23945.06,6718.08
76.0,518.07,26.1,23135.82,29096.88
78.0,431.33,22.4,33861.82,26107.54
40.0,482.7,28.7,18586.0,13766.6
78.0,324.67,24.8,19587.95,19043.84
50.0,97.52,2.7,44308.88,4744.35
14.0,592.6,24.2,25128.85,6288.67
39.0,245.04,29.1,30603.7,6775.6
31.0,508.87,18.8,32954.61,12809.28
10.0,323.5,17.4,15186.28,2672.11
15.0,250.21,5.2,11174.43,3557.99
48.0,262.47,16.6,25375.55,10507.2
19.0,750.14,9.1,42540.55,12955.67
90.0,556.79,28.3,27118.79,35929.66
21.0,520.32,18.2,31877.73,8938.06
65.0,706.5,20.9,35048.78,36324.7
62.0,768.39,25.5,13216.51,35491.93
41.0,979.1,16.6,41625.09,33479.35
58.0,843.78,15.2,1536.63,41500.48
51.0,184.64,10.7,28269.49,8409.06
77.0,188.72,22.6,19745.01,11247.33
37.0,285.68,25.6,44617.08,7864.2
96.0,460.29,2.9,12767.4,42906.39
65.0,757.48,28.3,32083.23,35302.36
-10.0,702.05,26.4,37884.28,16017.97
43.0,726.66,2.9,33484.61,30340.23
88.0,169.33,22.0,5697.37,11622.81
35.0,475.33,8.6,44249.33,15205.81
-10.0,667.4,3.1,4600.49,30395.4
36.0,658.24,8.1,34970.94,21777.21
62.0,290.95,18.7,16773.24,14665.63
